,Unnamed: 0,readable,uganda-2019,uganda-2020,uganda-2021,uganda-2022,uganda-2023,all,stripped
192,192,"He said despite Uganda’s soils losing fertility and needing to be replenished, farmers should opt for land fallowing or use of organic fertilizers in order to save soil bacteria.
",0,1,0,0,0,1,say despite uganda soil lose fertility need replenish farmer opt land fallowing use organic fertilizer order save soil bacteria
193,193,"Overall, 83% of the households in Uganda do not have a television set.
",0,1,0,0,0,1,overall household uganda television set
194,194,"I have a father-in-law and in Buganda, a woman is supposed to be so discrete with her in-laws.
",0,1,0,0,0,1,father law buganda woman suppose discrete law
195,195,"Samsan Olum, a district councillor of Karenga praised the initiative saying it’s a solution to poverty challenges in the region.
",0,1,0,0,0,1,samsan olum district councillor karenga praise initiative say solution poverty challenge region
196,196,"Moses Kibirige, the head of the World Bank’s Trade and Competitiveness sector in Uganda said part of the solution to communal land ownership in Uganda is to have it communally registered and titled.
",0,1,0,0,0,1,moses kibirige head world bank trade competitiveness sector uganda say part solution communal land ownership uganda communally register title
197,197,"Over a week ago President Yoweri Yoweri Museveni suspended all incoming and outgoing passenger flights to Uganda in a bid to combat the spread of COVID-19.
",0,1,0,0,0,1,week ago president yoweri yoweri museveni suspend incoming outgoing passenger flight uganda bid combat spread covid
198,198,"It was informed by the long-held and widely-documented belief by the President of Uganda, Museveni that the UPDF, which developed from his personal guerrilla army of the National Resistance Army (NRA), only holds a legitimate vision for the country and is far more reliable.
",0,1,0,0,0,1,inform long hold widely document belief president uganda museveni updf develop personal guerrilla army national resistance army nra hold legitimate vision country far reliable
199,199,"Emmanuel Lokii, the secretary Production and Marketing in Moroto District Local government welcomed the police operation saying many miners were flouting the regulations and were often bent on exploiting the local community.
",0,1,0,0,0,1,emmanuel lokii secretary production marketing moroto district local government welcome police operation say many miner flout regulation often bent exploit local community
200,200,"They include, Lopedo gold mining site in Lodiko and Nakapel mining site in Loyoro sub county both located close to the Kenyan border.
",0,1,0,0,0,1,include lopedo gold mining site lodiko nakapel mining site loyoro sub county locate close kenyan border
201,201,"The Moroto regional police spokesperson, Michael Longole described the new deployment as key and strategic to the insecurity needs of the region.
",0,0,1,0,0,1,moroto regional police spokesperson michael longole describe new deployment key strategic insecurity need region
202,202,"So, to enable people access cheap capital, Kasolo says the government, and President Museveni in particular, has initiated Emyooga programme to enable Ugandans access seed capital and begin their own businesses.
",0,0,1,0,0,1,enable people access cheap capital kasolo say government president museveni particular initiate emyooga programme enable ugandans access seed capital begin business
203,203,"Government has so far verified a total of 16,946 claimants in Acholi.
",0,0,1,0,0,1,government far verify total claimant acholi
204,204,"Police spokesperson Michael Longole blamed the leaders from Moroto for inciting violence, and reiterated that anyone who goes on inciting members of the public would be arrested.
",0,0,1,0,0,1,police spokesperson michael longole blame leader moroto incite violence reiterate anyone go incite member public would arrest
205,205,"Stanbic Bank Chief Executive, Anne Juuko, said the bank is committed to offering affordable loan and related financial products to support the economy to quickly recover from COVID-19 hit in line with their purpose – Uganda is our home, we drive her growth.
",0,0,1,0,0,1,stanbic bank chief executive anne juuko say bank commit offer affordable loan relate financial product support economy quickly recover covid hit line purpose uganda home drive growth
206,206,"One thing you have to keep in mind is that Uganda is going through a very difficult time as many other countries because of the Covid-19 pandemic which has inflicted a very large blow to the economy and people's lives.
",0,0,1,0,0,1,one thing keep mind uganda go difficult time many country covid pandemic inflict large blow economy people life
207,207,"Kabise added that Kasango had bought her land in Tororo, and that is where she wanted her son to be buried.
",0,0,1,0,0,1,kabise add kasango buy land tororo want son bury
208,208,"Government is seeking to upgrade the road into a paved bituminous standard to facilitate the connection between Bugisu and Karamoja sub-regions.
",0,0,1,0,0,1,government seek upgrade road paved bituminous standard facilitate connection bugisu karamoja sub region
209,209,"Alfred Onenchan, the second in Command at Kaiso Immigration offices in Hoima district, says they are unable to patrol all landing sites due to manpower gaps.
",0,0,1,0,0,1,alfred onenchan second command kaiso immigration office hoima district say unable patrol landing site due manpower gap
210,210,"Times have changed; not only is that grass near-impossible to find in Kampala today, the bananas (kayinja, musa or kisubi) are not common either.
",0,0,1,0,0,1,time change grass near impossible find kampala today banana kayinja musa kisubi common either
