,tokens
96,"['distribution', 'net', 'kampala', 'wakiso', 'expect', 'start', 'next', 'month']"
97,"['president', 'yoweri', 'museveni', 'donate', 'shs', 'million', 'towards', 'construction', 'uganda', 'orthodox', 'cathedral', 'lubya', 'hill', 'rubaga', 'division', 'kampala']"
98,"['help', 'former', 'state', 'minister', 'agriculture', 'hope', 'mwesigye', 'mbabazi', 'reportedly', 'meet', 'delegate', 'emerald', 'hotel', 'small', 'establishment', 'kampala', 'coach', 'pay', 'amount', 'shs']"
99,"['source', 'say', 'point', 'president', 'museveni', 'embark', 'silent', 'mission', 'reduce', 'beijing', 'mbabazi', 'influence', 'kampala']"
100,"['april', 'hostility', 'erupt', 'hundred', 'trader', 'capital', 'city', 'kampala', 'stage', 'closed', 'shop', 'protest', 'march', 'along', 'street', 'brandish', 'placard', 'tell', 'chinese', 'leave', 'country']"
101,"['look', 'area', 'like', 'karamoja']"
102,"['low', 'asthma', 'rate', 'record', 'karamoja', 'lango', 'region']"
103,"['akiriket', 'traditional', 'shrine', 'elder', 'karamoja', 'meet', 'invoke', 'god', 'issue', 'affect', 'land']"
104,"['task', 'force', 'interview', 'witness', 'record', 'statement', 'number', 'government', 'official', 'include', 'minister', 'karamoja', 'establish', 'involvement', 'iron', 'sheet', 'saga']"
105,"['arenger', 'say', 'even', 'woman', 'project', 'available', 'could', 'benefit', 'worried', 'soar', 'number', 'unemployed', 'youth', 'karamoja', 'cater', 'soon', 'region', 'may', 'slide', 'back', 'lawlessness']"
106,"['alupo', 'note', 'complete', 'university', 'first', 'ever', 'karamoja', 'develop', 'appropriate', 'technology', 'harness', 'natural', 'resource', 'wealth', 'creation', 'integral', 'human', 'development']"
107,"['placard', 'condemn', 'uganda', 'people', 'defense', 'force', 'updf', 'manning', 'security', 'karamoja', 'other', 'attack', 'rule', 'government', 'fail', 'live', 'promise', 'secure', 'ugandan']"
108,"['kato', 'story', 'explore', 'science', 'particularly', 'biotechnology', 'help', 'alleviate', 'suffering', 'karamoja', 'pastoral', 'community']"
109,"['ssempijja', 'point', 'among', 'key', 'current', 'updf', 'task', 'remain', 'unfunded', 'include', 'ongoing', 'operation', 'shujja', 'allied', 'democratic', 'force', 'adf', 'islamic', 'rebel', 'group', 'drc', 'require', 'billion', 'shilling', 'disarmament', 'exercise', 'karamoja', 'region', 'dub', 'salama', 'kwa', 'wote', 'need', 'billion', 'shilling']"
110,"['prof', 'orach', 'say', 'karamoja', 'sex', 'procreation', 'purpose', 'almost', 'every', 'pregnancy', 'intend', 'hence', 'low', 'number']"
111,"['enanga', 'warn', 'witness', 'ongoing', 'investigation', 'karamoja', 'iron', 'sheet', 'scandal', 'heed', 'summon', 'note', 'invitation', 'mean', 'either', 'prove', 'allegation', 'disprove']"
112,"['john', 'lodungokol', 'assistant', 'commissioner', 'crop', 'production', 'ministry', 'agriculture', 'tell', 'urn', 'sunday', 'environmental', 'degradation', 'karamoja', 'main', 'cause', 'flooding', 'always', 'hit', 'region']"
113,"['hope', 'intervention', 'would', 'persuade', 'people', 'karamoja', 'embrace', 'disarmament', 'abandon', 'cattle', 'rustle']"
114,"['however', 'seem', 'always', 'look', 'karamoja', 'place', 'deserve', 'pity', 'hence', 'massive', 'plan', 'donate', 'cheap', 'iron', 'sheet', 'hear', 'even', 'reach', 'need']"
115,"['despite', 'former', 'powerhouse', 'kololo', 'ss', 'old', 'kampala', 'ss', 'lubiri', 'ss', 'pleasure', 'abim', 'karamoja', 'region']"
116,"['col', 'peter', 'akakunda', 'brigade', 'commander', 'advise', 'youth', 'stop', 'cattle', 'raid', 'peace', 'development', 'fully', 'realize', 'karamoja']"
117,"['court', 'temporarily', 'halt', 'hearing', 'case', 'minister', 'karamoja', 'karamoja', 'affairs', 'mary', 'gorreti', 'kitutu', 'accuse', 'cause', 'loss', 'public', 'property', 'allege', 'involvement', 'diversion', 'iron', 'sheet', 'mean', 'vulnerable', 'people', 'karamoja', 'sub', 'region']"
118,"['april', 'year', 'president', 'museveni', 'launch', 'disarmament', 'exercise', 'karamoja', 'deploy', 'military', 'carry', 'follow', 'spate', 'murder', 'theft', 'thousand', 'livestock', 'mainly', 'cattle']"
119,"['first', 'go', 'karamoja', 'different', 'place', 'work', 'hard', 'together', 'other', 'denmark', 'eu', 'alongside', 'uganda', 'human', 'rights', 'commission', 'government', 'civil', 'society', 'actor', 'traditional', 'leader', 'even', 'young', 'warrior', 'come', 'situation', 'gun', 'could', 'leave', 'behind']"
120,"['peter', 'mugema', 'iganga', 'municipality', 'mp', 'say', 'famine', 'affect', 'people', 'constituency', 'cite', 'people', 'die', 'starvation', 'government', 'upscale', 'intervention', 'beyond', 'karamoja']"
121,"['adjumani', 'east', 'mp', 'james', 'mamawi', 'urge', 'government', 'invest', 'production', 'long', 'term', 'plan', 'mitigate', 'famine', 'hunger', 'karamoja', 'reduce', 'dependence', 'syndrome', 'relief', 'food']"
122,"['sseremba', 'tell', 'court', 'activity', 'fulfil', 'procurement', 'goat', 'iron', 'sheet', 'distribute', 'cost', 'target', 'beneficiary', 'people', 'karamoja']"
123,"['price', 'cattle', 'goat', 'sheep', 'chicken', 'karamoja', 'market', 'triple', 'head', 'christmas', 'festival']"
124,"['vast', 'majority', 'fgm', 'take', 'place', 'region', 'karamoja', 'sebei', 'overall', 'prevalence', 'report']"
125,"['health', 'programme', 'especially', 'immunization', 'peace', 'help', 'population', 'karamoja', 'recover', 'grow', 'go', 'minister', 'defence', 'million', 'people']"
126,"['december', 'parliament', 'pass', 'supplementary', 'budget', 'worth', 'billion', 'shilling', 'support', 'various', 'program', 'karamoja']"
127,"['report', 'show', 'food', 'insecurity', 'karamoja', 'attribute', 'multiple', 'factor', 'include', 'insecurity', 'unpredictable', 'weather', 'pattern', 'lead', 'inadequate', 'food', 'production', 'poor', 'health', 'hygiene', 'sanitation', 'practice']"
128,"['last', 'week', 'karamoja', 'minister', 'mary', 'gorreti', 'kitutu', 'remand', 'luzira', 'prison', 'anti', 'corruption', 'court', 'allegedly', 'divert', 'iron', 'sheet', 'mean', 'karamoja', 'community', 'empowerment', 'programme']"
129,"['accord', 'survey', 'ecological', 'christian', 'organisation', 'ngo', 'advocate', 'right', 'karimojong', 'land', 'matter', 'land', 'karamoja', 'liencese', 'investor', 'hold', 'exploration', 'mining', 'lease', 'range', 'year']"
